audio1.wav|Hola, bienvenido al sistema de reconocimiento de voz.
audio2.wav|Por favor, selecciona una de las opciones disponibles en el menú.
audio3.wav|Gracias por tu llamada, ha sido un placer atenderte.
audio4.wav|Tu solicitud ha sido procesada exitosamente.
audio5.wav|Por favor, espera mientras conectamos tu llamada.
audio6.wav|El proceso ha sido completado con éxito.
audio7.wav|La temperatura actual es de 22 grados con cielo parcialmente nublado.
audio8.wav|En estos momentos, el tráfico en tu área es moderado.
audio9.wav|Este sistema fue diseñado para mejorar la interacción con los usuarios.
audio10.wav|Recuerda que puedes acceder a la ayuda en cualquier momento presionando el botón de asistencia.
audio11.wav|¡Felicidades, has completado el proceso con éxito!
audio12.wav|Estamos encantados de que formes parte de nuestro equipo.
audio13.wav|Esperamos que tengas una excelente experiencia utilizando nuestro servicio.
audio14.wav|¡Muchas gracias por confiar en nosotros!
audio15.wav|Se ha detectado una falla en el sistema.
audio16.wav|Por favor, revisa la conexión de red y vuelve a intentarlo.
audio17.wav|Este es un aviso de seguridad, por favor contacta con soporte técnico.
audio18.wav|Error: No hemos podido completar tu solicitud. Intenta nuevamente más tarde.
audio19.wav|¿Estás seguro de que deseas continuar con esta acción?
audio20.wav|¿Te gustaría recibir más información sobre nuestros servicios?
audio21.wav|¿Hay algo más en lo que te pueda ayudar?
audio22.wav|Confirma por favor si deseas proceder con la configuración.
audio23.wav|Agradecemos tu paciencia y comprensión.
audio24.wav|Lamentamos los inconvenientes y estamos trabajando para solucionarlos.
audio25.wav|Gracias por tu tiempo y por elegir nuestros servicios.
audio26.wav|Nos enorgullece ofrecerte una atención de calidad.
audio27.wav|Claro, con gusto.
audio28.wav|Por supuesto.
audio29.wav|¡Perfecto!
audio30.wav|¡De acuerdo!
